Timezone : Asia/Tokyo,Temperature,Humidity,CO2,Noise,Pressure
2017-1-2,3.4,68,274,37,1019.8
2017-1-2,3.4,68,267,37,1019.8
2017-1-2,3.4,69,258,36,1019.8
2017-1-2,3.4,70,257,36,1019.8
2017-1-2,3.5,70,253,37,1019.7
2017-1-2,3.5,69,256,37,1019.7
2017-1-2,3.6,69,257,37,1019.7
2017-1-2,3.6,69,249,37,1019.7
2017-1-2,3.6,69,259,37,1019.8
2017-1-2,3.5,69,259,36,1019.8
2017-1-2,3.5,69,255,36,1019.9
2017-1-2,3.5,69,257,37,1019.9
2017-1-2,3.5,70,242,37,1019.8
2017-1-2,3.5,70,253,37,1019.7
2017-1-2,3.5,70,253,37,1019.7
2017-1-2,3.5,70,246,37,1019.7
2017-1-2,3.6,71,246,36,1019.6
2017-1-2,3.6,70,247,36,1019.6
2017-1-2,3.6,70,256,37,1019.8
2017-1-2,3.6,70,249,37,1019.7
2017-1-2,3.6,70,250,36,1019.8
2017-1-2,3.6,70,251,36,1019.8
2017-1-2,3.6,70,262,37,1019.8
2017-1-2,3.6,70,260,37,1019.6
2017-1-2,3.6,70,253,37,1019.6
2017-1-2,3.6,70,258,37,1019.6
2017-1-2,3.6,70,261,37,1019.6
2017-1-2,3.6,70,255,37,1019.5
2017-1-2,3.7,70,257,37,1019.6
2017-1-2,3.6,70,253,37,1019.5
2017-1-2,3.7,70,261,37,1019.4
2017-1-2,3.7,70,261,37,1019.4
2017-1-2,3.7,70,261,37,1019.4
2017-1-2,3.7,70,257,37,1019.2
2017-1-2,3.7,70,256,37,1019.3
2017-1-2,3.6,70,259,37,1019.3
2017-1-2,3.6,70,252,37,1019
2017-1-2,3.6,70,267,37,1019
2017-1-2,3.6,70,258,36,1019
2017-1-2,3.5,70,268,36,1018.9
2017-1-2,3.5,70,272,36,1019
2017-1-2,3.5,70,265,36,1019
2017-1-2,3.5,70,257,38,1019.1
2017-1-2,3.4,71,263,38,1019.2
2017-1-2,3.4,71,264,37,1019.2
2017-1-2,3.4,71,269,38,1019.2
2017-1-2,3.5,71,260,38,1019.3
2017-1-2,3.5,71,266,39,1019.4
2017-1-2,3.5,71,265,39,1019.3
2017-1-2,3.6,71,263,39,1019.4
2017-1-2,3.7,71,273,39,1019.4
2017-1-2,3.7,71,270,39,1019.4
2017-1-2,3.8,71,263,39,1019.5
2017-1-2,3.8,71,263,39,1019.5
2017-1-2,3.9,71,267,38,1019.4
2017-1-2,4,71,268,39,1019.5
2017-1-2,4.1,71,270,38,1019.6
2017-1-2,4.2,71,275,39,1019.6
2017-1-2,4.3,71,281,37,1019.6
2017-1-2,4.3,71,286,37,1019.6
2017-1-2,4.4,71,277,39,1019.7
2017-1-2,4.4,71,285,38,1019.6
2017-1-2,4.5,71,281,38,1019.6
2017-1-2,4.5,71,282,38,1019.5
2017-1-2,4.6,70,287,39,1019.2
2017-1-2,4.7,71,286,39,1019.3
2017-1-2,4.7,71,285,40,1019.3
2017-1-2,4.8,70,294,41,1019.1
2017-1-2,4.9,70,300,42,1019.1
2017-1-2,5,70,302,40,1019.2
2017-1-2,5.1,70,303,38,1019.1
2017-1-2,5.3,70,294,39,1019.1
2017-1-2,5.4,69,293,38,1019
2017-1-2,5.5,69,286,37,1018.9
2017-1-2,5.7,69,288,37,1019
2017-1-2,5.8,69,288,37,1019
2017-1-2,6,69,302,42,1019
2017-1-2,6.2,68,295,39,1018.9
2017-1-2,6.3,68,290,37,1018.8
2017-1-2,6.5,67,295,37,1018.7
2017-1-2,6.6,67,296,37,1018.6
2017-1-2,6.7,67,305,37,1018.5
2017-1-2,6.9,67,314,39,1018.5
2017-1-2,7,66,311,37,1018.3
2017-1-2,7.2,66,316,37,1018.2
2017-1-2,7.2,66,320,37,1018.1
2017-1-2,7.5,66,314,38,1017.7
2017-1-2,7.7,66,319,37,1017.6
2017-1-2,8,66,325,40,1017.5
2017-1-2,8.2,65,330,36,1017.3
2017-1-2,8.5,65,341,36,1017.1
2017-1-2,8.9,65,341,37,1016.9
2017-1-2,9.2,64,345,36,1016.7
2017-1-2,9.5,64,350,36,1016.7
2017-1-2,9.8,63,361,36,1016.6
2017-1-2,10,63,362,36,1016.5
2017-1-2,10.2,63,365,37,1016.3
2017-1-2,10.5,63,379,43,1016.2
2017-1-2,10.8,62,382,44,1016
2017-1-2,11.1,62,393,43,1015.8
2017-1-2,11.4,61,393,36,1015.8
2017-1-2,11.6,61,396,38,1015.6
2017-1-2,11.9,60,407,44,1015.5
2017-1-2,12,60,412,43,1015.5
2017-1-2,12.2,60,412,44,1015.3
2017-1-2,12.4,60,422,44,1015
2017-1-2,12.7,60,428,44,1014.9
2017-1-2,13,59,436,44,1014.8
2017-1-2,13.1,59,429,44,1014.8
2017-1-2,13.4,58,448,44,1014.8
2017-1-2,13.6,58,445,45,1014.8
2017-1-2,13.7,57,454,43,1014.7
2017-1-2,13.8,57,462,43,1014.7
2017-1-2,14,57,466,44,1014.5
2017-1-2,14.1,56,476,44,1014.4
2017-1-2,14.1,56,472,44,1014.2
2017-1-2,14.1,56,471,44,1014.1
2017-1-2,14.2,56,462,44,1014
2017-1-2,14.3,56,479,44,1013.9
2017-1-2,14.4,56,477,44,1013.8
2017-1-2,14.6,56,477,44,1013.8
2017-1-2,14.8,56,490,47,1013.7
2017-1-2,15,56,491,47,1013.6
2017-1-2,15.2,55,497,45,1013.4
2017-1-2,15.2,55,486,44,1013.3
2017-1-2,15.3,55,499,44,1013.2
2017-1-2,15.3,54,500,40,1013.2
2017-1-2,15.3,54,491,37,1013.1
2017-1-2,15.1,54,494,36,1013.1
2017-1-2,14.9,54,488,36,1013.2
2017-1-2,14.8,54,480,36,1013.1
2017-1-2,14.7,54,484,36,1013.1
2017-1-2,14.8,53,484,36,1013
2017-1-2,14.9,53,490,36,1012.9
2017-1-2,15.1,53,500,36,1012.8
2017-1-2,15.2,53,500,37,1012.8
2017-1-2,15.4,53,499,36,1012.7
2017-1-2,15.6,53,501,36,1012.6
2017-1-2,15.7,53,504,36,1012.5
2017-1-2,15.9,52,511,36,1012.5
2017-1-2,15.9,52,509,36,1012.4
2017-1-2,16,52,515,36,1012.3
2017-1-2,16,52,517,36,1012.3
2017-1-2,16,52,526,36,1012.3
2017-1-2,16,52,518,36,1012.3
2017-1-2,15.9,52,509,37,1012.3
2017-1-2,15.8,51,518,36,1012.4
2017-1-2,15.7,51,498,36,1012.4
2017-1-2,15.5,51,501,36,1012.4
2017-1-2,15.2,51,493,37,1012.3
2017-1-2,15,51,503,36,1012.2
2017-1-2,14.9,51,492,36,1012.2
2017-1-2,14.7,51,484,36,1012.2
2017-1-2,14.5,51,483,36,1012.3
2017-1-2,14.4,51,485,36,1012.4
2017-1-2,14.2,51,486,36,1012.6
2017-1-2,13.9,52,475,36,1012.5
2017-1-2,13.7,52,465,36,1012.7
2017-1-2,13.5,52,459,37,1012.6
2017-1-2,13.3,52,456,36,1012.6
2017-1-2,13.1,53,463,36,1012.7
2017-1-2,12.9,53,455,36,1012.8
2017-1-2,12.7,53,449,36,1012.8
2017-1-2,12.4,53,449,41,1012.8
2017-1-2,12.2,54,440,36,1012.8
2017-1-2,12,54,436,36,1012.7
2017-1-2,11.7,55,431,37,1012.8
2017-1-2,11.6,55,432,36,1012.8
2017-1-2,11.3,55,429,36,1012.7
2017-1-2,11.2,56,421,40,1012.7
2017-1-2,10.9,56,418,36,1012.7
2017-1-2,10.7,57,406,36,1012.7
2017-1-2,10.5,56,413,36,1012.6
2017-1-2,10.4,57,412,36,1012.7
2017-1-2,10.2,57,418,37,1012.7
2017-1-2,10.1,57,408,37,1012.7
2017-1-2,10,57,415,41,1012.7
2017-1-2,9.9,57,416,37,1012.8
2017-1-2,9.8,58,417,36,1012.7
2017-1-2,9.8,58,415,36,1012.8
2017-1-2,9.6,58,420,37,1012.7
2017-1-2,9.5,58,414,38,1012.6
2017-1-2,9.4,59,425,37,1012.6
2017-1-2,9.2,59,429,38,1012.7
2017-1-2,9.1,59,415,37,1012.8
2017-1-2,9,60,411,39,1012.7
2017-1-2,8.8,60,415,39,1012.8
2017-1-2,8.7,60,399,39,1012.8
2017-1-2,8.5,60,400,39,1012.8
2017-1-2,8.4,60,404,39,1012.9
2017-1-2,8.3,61,402,39,1012.8
2017-1-2,8.1,61,402,38,1012.9
2017-1-2,8,61,407,39,1012.8
2017-1-2,7.9,61,403,40,1012.8
2017-1-2,7.8,61,410,39,1012.7
2017-1-2,7.7,62,412,39,1012.7
2017-1-2,7.6,62,418,38,1012.7
2017-1-2,7.6,62,417,39,1012.5
2017-1-2,7.4,62,419,38,1012.5
2017-1-2,7.4,63,409,39,1012.6
2017-1-2,7.3,63,416,39,1012.6
2017-1-2,7.2,63,418,41,1012.6
2017-1-2,7.1,63,424,39,1012.5
2017-1-2,7,64,428,39,1012.5
2017-1-2,6.9,64,425,39,1012.5
2017-1-2,6.9,64,430,42,1012.5
2017-1-2,6.8,64,436,40,1012.5
2017-1-2,6.8,64,451,40,1012.4
2017-1-2,6.8,65,455,40,1012.3
2017-1-2,6.7,65,467,39,1012.3
2017-1-2,6.7,65,460,39,1012.2
2017-1-2,6.7,65,470,40,1012.2
2017-1-2,6.7,66,448,39,1012.2
2017-1-2,6.7,66,439,39,1012.1
2017-1-2,6.7,66,430,37,1012
2017-1-2,6.6,66,430,36,1012
2017-1-2,6.5,66,425,37,1011.9
2017-1-2,6.5,66,416,39,1011.9
2017-1-2,6.4,66,413,40,1011.9
2017-1-2,6.3,66,408,39,1011.9
2017-1-2,6.3,67,419,39,1011.8
2017-1-2,6.2,67,409,37,1011.7
2017-1-2,6.1,67,410,38,1011.6
2017-1-2,6.1,67,405,39,1011.5
2017-1-2,6,67,405,39,1011.4
2017-1-2,6,67,393,38,1011.5
2017-1-2,5.9,67,401,39,1011.6
2017-1-2,5.8,68,393,39,1011.6
2017-1-2,5.7,68,392,38,1011.6
2017-1-2,5.7,68,384,39,1011.7
2017-1-2,5.6,69,381,39,1011.6
2017-1-2,5.6,69,377,39,1011.7
2017-1-2,5.6,69,364,40,1011.6
2017-1-2,5.6,69,368,39,1011.6
2017-1-2,5.5,69,360,38,1011.6
2017-1-2,5.4,69,354,38,1011.7
2017-1-2,5.3,69,352,38,1011.7
2017-1-2,5.3,69,352,39,1011.8
2017-1-2,5.3,70,352,38,1011.7
2017-1-2,5.3,70,359,38,1011.7
2017-1-2,5.2,70,359,38,1011.6
2017-1-2,5.2,70,345,38,1011.6
2017-1-2,5.2,70,355,38,1011.6
2017-1-2,5.2,70,361,37,1011.5
2017-1-2,5.1,70,350,38,1011.5
2017-1-2,5.1,70,356,38,1011.5
2017-1-2,5.1,70,354,37,1011.5
2017-1-2,5,70,345,37,1011.5
2017-1-2,4.9,70,344,37,1011.5
2017-1-2,4.9,70,346,37,1011.5
2017-1-2,4.8,70,350,37,1011.4
2017-1-2,4.7,70,348,37,1011.3
